"id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","accommodates","bedrooms","beds","price","min_nights","max_nights","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","carbon_monoxide_alarm","stove","hot_water","security_cameras","wifi","heating","fire_extinguisher","free_parking","coffee_maker","kitchen","smoke_alarm","dryer","private_entrance","hair_dryer","TV","waterfront","host_greeting","mean_review"
23957941,59340913,NA,NA,"0%","0",1,"Private room",2,1,1,25,1,15,9,4.78,4.78,4,4.89,5,4.78,4.67,"1","0",0.24,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.7
24201218,38698132,"a few days or more","33%","100%","0",3,"Private room",2,1,1,25,1,1125,7,4.57,4.43,4.43,4.57,4.71,4.43,4.43,"0","1",0.17,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.51
25502184,2648563,NA,NA,NA,"0",1,"Private room",1,1,1,25,1,2,21,4.8,4.95,4.65,4.95,5,4.7,4.7,"0","0",0.55,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.82142857142857
29579619,222560680,NA,NA,NA,"0",1,"Entire home/apt",2,1,1,25,2,1125,1,4,5,3,5,5,5,3,"0","1",0.03,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.28571428571429
39299321,289785585,NA,NA,NA,"0",1,"Private room",1,1,1,25,2,3,4,5,5,5,5,5,5,5,"0","0",0.21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5
46709240,27136776,NA,NA,NA,"0",1,"Private room",1,1,1,25,8,18,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
13561575,66377477,"within an hour","100%","100%","0",1,"Private room",4,1,2,26,1,3,142,4.91,4.96,4.97,4.96,4.97,4.67,4.78,"1","1",2.39,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.88857142857143
21605620,1450666,"within a day","59%","47%","0",2,"Private room",2,1,1,26,14,1125,28,4.58,4.69,4.65,4.5,4.58,4.92,4.42,"0","0",0.63,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.62
31945260,237150996,NA,NA,NA,"0",10,"Shared room",1,1,1,26,1,1125,170,4.54,4.76,4.41,4.81,4.81,4.96,4.66,"0","1",6.98,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.70714285714286
32623608,245267147,"within an hour","81%","99%","0",12,"Hotel room",1,1,1,26,1,1125,25,4.64,4.76,4.36,4.88,4.84,4.83,4.67,"1","1",0.91,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.71142857142857
